id,type,domain,enabled,date_added,date_modified,comment
100,0,digitalocean.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
101,0,benboyd.info,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
102,0,loveboyds.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
103,0,crowdstrike.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
104,0,paloaltonetworks.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
105,0,homechef.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
106,0,blueapron.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
107,0,arvest.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
108,0,nationwide.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
109,0,noip.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
110,0,spark.adobe.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
111,0,bankofamerica.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
112,0,capitalone.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
113,0,capitalone360.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
114,0,chase.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
115,0,citicards.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
116,0,citi.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
117,0,americanexpress.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
118,0,cloudflare.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
119,0,wdmycloud.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
120,0,office365.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
121,0,zendesk.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
122,0,webex.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
123,0,gotomeeting.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
124,0,surveymonkey.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
125,0,maps.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
126,0,bing.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
127,0,maps.googleapis.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
128,0,clients1.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
129,0,clients6.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
130,0,clients2.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
131,0,clients4.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
132,0,cnn.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
133,0,a-msedge.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
134,0,a-0001.a-msedge.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
135,0,www-bing-com.a-0001.a-msedge.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
136,0,clients3.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
137,0,pi.hole,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
138,0,device-metrics-us.amazon.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
139,0,clients5.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
140,0,godaddy.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
141,0,hilton.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
142,0,winhelp2002.mvps.org,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
143,0,autodiscover.outlook.com.g.outlook.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
144,0,autodiscover-ca-latam4.outlook.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
145,0,home-assistant.io,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
146,0,linkedin.com,1,1593008041,1634143495,
147,0,sonos.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
148,0,click.email.sonos.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
149,0,go.pardot.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
150,0,money.cnn.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
151,0,www.bit.ly,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
152,0,j.mp,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
153,0,imgs.xkcd.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
154,0,keystone.mwbsys.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
155,0,github.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
156,0,plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
157,0,tvdb2.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
158,0,tvthemes.plexapp.com.cdn.cloudflare.net,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
159,0,tvthemes.plexapp.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
160,0,meta.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
161,0,proxy.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
162,0,metrics.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
163,0,pubsub.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
164,0,status.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
165,0,www.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
166,0,staging.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
167,0,app.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
168,0,o1.email.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
169,0,o2.sg0.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
170,0,dashboard.plex.tv,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
171,0,dl.dropboxusercontent.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
172,0,ns1.dropbox.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
173,0,ns2.dropbox.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
174,0,googleapis.l.google.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
175,0,fonts.googleapis.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
176,0,5newsonline.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
177,0,0.gravatar.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
178,0,meetup.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
179,0,api.sonos.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
180,0,secure.meetup.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
181,0,thumbtack.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
182,0,lyft.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
183,0,uber.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
184,0,secure.eloqua.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
185,0,activity.windows.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
186,0,continuum.dds.microsoft.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
187,0,ocsp.digicert.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
188,0,client.wns.windows.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
189,0,email.macaronikid.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
190,0,at.atwola.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
191,0,arc.msn.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
192,0,att.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
193,0,cprodmasx.att.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
194,0,m.att.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
195,0,desotocountyms.gov,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
196,0,login.windows.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
197,0,gs.apple.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
198,0,login.microsoftonline.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
199,0,cdnjs.cloudflare.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
200,0,docs.secureauth.com,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
201,0,isc.sans.edu,1,1593008041,1593008041,"Migrated from /etc/pihole/whitelist.txt"
